dataset,min_freq,|lexicon|,covered_rate_short_train,covered_rate_long_train,balanced_recall_train,match_precision_train,match_precision_short_train,match_precision_long_train,f1_short_train,f1_long_train,balanced_f1_train
redjujube,1,5317,1.0,0.7774725274725275,0.9860195301486167,0.4552602361045023,0.44599731145413246,0.8601823708206687,0.6168715638974819,0.8167388167388167,0.6276045385767411
redjujube,2,1842,0.8544925427428156,0.31043956043956045,0.7806950540362853,0.4489926960430211,0.44481415354650217,0.8248175182481752,0.5850664484335248,0.4510978043912176,0.5778722630735937
redjujube,3,1087,0.7861040378319389,0.16941391941391942,0.5527180993725195,0.44627087522951825,0.44376320112649614,0.8295964125560538,0.5672873188201984,0.2813688212927757,0.5519333478686398
boson,1,8206,1.0,0.7868903386144765,0.958116209815257,0.29478176593610256,0.26467380616094255,0.8795138888888889,0.4185645418946237,0.8306279717986554,0.4921611784624026
boson,2,2593,0.7672926236152391,0.27803665734700217,0.6415280826925299,0.30324927615135244,0.2884092928779992,0.8740234375,0.4192363763863515,0.4218713174640585,0.4197069903423598
boson,3,1334,0.630978114023237,0.1550170860515688,0.4901255902811269,0.28738317757009346,0.27736207613278696,0.8879003558718861,0.3853388886597087,0.26395133562549594,0.3636584507072518
clue,1,10077,1.0,0.7868724360226607,0.9431153714552647,0.4811933498133876,0.43250259605399793,0.8628963153384748,0.6038419717288873,0.8231327270869522,0.6574345133443715
clue,2,2507,0.7242686548303532,0.3313147099042782,0.5909883876880198,0.4955935522747816,0.46607033949989835,0.8666326009197751,0.567166394537628,0.4793668739400792,0.5457090401053329
clue,3,1327,0.6188791305996083,0.2191834342645048,0.46971073334810143,0.4868878779769869,0.46342732778198337,0.8724727838258165,0.5299894489083679,0.3503512880562061,0.48608761822937346
