dataset,beta,strategy_k,strategy_test_f1_mean,strategy_test_f1_std,fixed_mf2_test_f1_mean,fixed_mf2_test_f1_std,fixed_mf3_test_f1_mean,fixed_mf3_test_f1_std,candidates_best_k,candidates_best_test_f1_mean,regret(best-strategy),seeds_used_strategy,keep_ks
boson,0.5,2,0.856,0.0012328828005937977,0.856,0.0012328828005937977,0.8589333333333333,0.0013123346456686458,3,0.8589333333333333,0.0029333333333333433,"42,43,44","1,2"
clue,0.5,2,0.8005666666666666,0.003774770044504529,0.8005666666666666,0.003774770044504529,0.7989333333333333,0.0032704060230429486,2,0.8005666666666666,0.0,"42,43,44","1,2,3"
